date,machine learning
2015-01-01,21
2015-02-01,24
2015-03-01,23
2015-04-01,24
2015-05-01,19
2015-06-01,22
2015-07-01,26
2015-08-01,23
2015-09-01,33
2015-10-01,37
2015-11-01,33
2015-12-01,23
2016-01-01,33
2016-02-01,35
2016-03-01,44
2016-04-01,38
2016-05-01,35
2016-06-01,32
2016-07-01,38
2016-08-01,36
2016-09-01,44
2016-10-01,47
2016-11-01,61
2016-12-01,52
2017-01-01,60
2017-02-01,54
2017-03-01,76
2017-04-01,59
2017-05-01,64
2017-06-01,68
2017-07-01,61
2017-08-01,71
2017-09-01,79
2017-10-01,93
2017-11-01,84
2017-12-01,62
2018-01-01,76
2018-02-01,94
2018-03-01,73
2018-04-01,72
2018-05-01,74
2018-06-01,76
2018-07-01,73
2018-08-01,73
2018-09-01,82
2018-10-01,93
2018-11-01,97
2018-12-01,62
2019-01-01,75
2019-02-01,97
2019-03-01,82
2019-04-01,90
2019-05-01,80
2019-06-01,84
2019-07-01,76
2019-08-01,73
2019-09-01,78
2019-10-01,97
2019-11-01,94
2019-12-01,84
2020-01-01,91
2020-02-01,99
2020-03-01,80
2020-04-01,80
2020-05-01,79
2020-06-01,90
2020-07-01,86
2020-08-01,72
2020-09-01,100
2020-10-01,86
2020-11-01,78
2020-12-01,77
2021-01-01,81
2021-02-01,74
2021-03-01,79
2021-04-01,75
2021-05-01,73
2021-06-01,63
